cat_id,store_id,lead_bucket,is_event_week,rows,actual_sum,forecast_sum,stockout_proxy_rate,raw_ratio,shrinkage_weight,global_ratio,correction_factor
HOBBIES,CA_4,57-98,0,129,5331,4121.839546138193,0.0,1.2932834131258906,0.6172248803827751,1.1773084429661982,1.2488910800504103
FOODS,TX_3,29-56,0,127,16569,15137.714206540048,0.07874015748031496,1.0945447396610226,0.6135265700483091,1.1773084429661982,1.126530711952878
HOBBIES,CA_2,57-98,0,125,3996,3116.9907639100234,0.04,1.2819152789880883,0.6097560975609756,1.1773084429661982,1.2410930990771067
FOODS,WI_3,29-56,1,124,19317,14480.705175280133,0.12903225806451613,1.33395893412989,0.6078431372549019,1.1773084429661982,1.272527368967658
FOODS,WI_2,29-56,1,123,12304,9183.276286859595,0.21951219512195122,1.3397898338059997,0.6059113300492611,1.1773084429661982,1.2757577585981963
FOODS,CA_2,29-56,0,123,11326,9337.755660202036,0.17886178861788618,1.2129024906681143,0.6059113300492611,1.1773084429661982,1.1988752797511029
FOODS,WI_2,57-98,1,122,17248,13522.515042959303,0.05737704918032787,1.275481998963005,0.6039603960396039,1.1773084429661982,1.236601382726646
FOODS,WI_3,57-98,1,121,13918,11088.243170022857,0.0743801652892562,1.2551803388735059,0.6019900497512438,1.1773084429661982,1.224186549457662
HOUSEHOLD,WI_3,57-98,0,119,5110,4303.735209637913,0.01680672268907563,1.1872971857959889,0.5979899497487438,1.1773084429661982,1.1832816107890378
HOUSEHOLD,WI_1,57-98,0,117,3608,2939.5744831788775,0.017094017094017096,1.227311200802684,0.5939086294416244,1.1773084429661982,1.207005512341167
FOODS,TX_2,29-56,0,115,16251,14795.129502605549,0.08695652173913043,1.098395360566294,0.5897435897435898,1.1773084429661982,1.130769958473947
FOODS,WI_1,29-56,1,115,7421,6855.415405739172,0.14782608695652175,1.0824898377346572,0.5897435897435898,1.1773084429661982,1.121389778342469
HOUSEHOLD,TX_2,57-98,0,114,5230,4452.3961003323175,0.0,1.174609193107628,0.5876288659793815,1.1773084429661982,1.1757222858328116
HOUSEHOLD,WI_1,99+,1,112,3657,2798.8162289553807,0.017857142857142856,1.3065143212505808,0.5833333333333334,1.1773084429661982,1.252678538632088
HOUSEHOLD,WI_2,57-98,1,100,5496,4761.600589010925,0.0,1.1542013438379872,0.5555555555555556,1.1773084429661982,1.1644711656727478
